Pavarde             Vardas              Galutinis (med.)
Pavarde1642         Vardas1642          8.4            
Pavarde1643         Vardas1643          8.2            
Pavarde1644         Vardas1644          7.2            
Pavarde1645         Vardas1645          5.2            
Pavarde1646         Vardas1646          6.2            
Pavarde1647         Vardas1647          8.4            
Pavarde1648         Vardas1648          5.6            
Pavarde1649         Vardas1649          5.8            
Pavarde165          Vardas165           4.6            
Pavarde1650         Vardas1650          4.8            
Pavarde1651         Vardas1651          4.4            
Pavarde1652         Vardas1652          6.6            
Pavarde1653         Vardas1653          2.6            
Pavarde1654         Vardas1654          5              
Pavarde1655         Vardas1655          5.4            
Pavarde1656         Vardas1656          3.4            
Pavarde1657         Vardas1657          4              
Pavarde1658         Vardas1658          6.4            
Pavarde1659         Vardas1659          7.6            
Pavarde166          Vardas166           5.4            
Pavarde1660         Vardas1660          6.2            
Pavarde1661         Vardas1661          3.6            
Pavarde1662         Vardas1662          5.6            
Pavarde1663         Vardas1663          6.4            
Pavarde1664         Vardas1664          8.2            
Pavarde1665         Vardas1665          6.4            
Pavarde1666         Vardas1666          2.6            
Pavarde1667         Vardas1667          4.4            
Pavarde1668         Vardas1668          3.2            
Pavarde1669         Vardas1669          3.2            
Pavarde167          Vardas167           5.4            
Pavarde1670         Vardas1670          6.2            
Pavarde1671         Vardas1671          7.8            
Pavarde1672         Vardas1672          5              
Pavarde1673         Vardas1673          6.4            
Pavarde1674         Vardas1674          6.4            
Pavarde1675         Vardas1675          3.8            
Pavarde1676         Vardas1676          8.4            
Pavarde1677         Vardas1677          2.6            
Pavarde1678         Vardas1678          4.4            
Pavarde1679         Vardas1679          5.8            
Pavarde168          Vardas168           3              
Pavarde1680         Vardas1680          3.8            
Pavarde1681         Vardas1681          4.4            
Pavarde1682         Vardas1682          3.8            
Pavarde1683         Vardas1683          6              
Pavarde1684         Vardas1684          5              
Pavarde1685         Vardas1685          8              
Pavarde1686         Vardas1686          6.8            
Pavarde1687         Vardas1687          3.4            
Pavarde1688         Vardas1688          4.8            
Pavarde1689         Vardas1689          3.6            
Pavarde169          Vardas169           8.8            
Pavarde1690         Vardas1690          4.6            
Pavarde1691         Vardas1691          2.2            
Pavarde1692         Vardas1692          5.8            
Pavarde1693         Vardas1693          4.6            
Pavarde1694         Vardas1694          7.6            
Pavarde1695         Vardas1695          2.8            
Pavarde1696         Vardas1696          5.8            
Pavarde1697         Vardas1697          7.4            
Pavarde1698         Vardas1698          5.8            
Pavarde1699         Vardas1699          6              
Pavarde17           Vardas17            6.2            
Pavarde170          Vardas170           6.4            
Pavarde1700         Vardas1700          5.6            
Pavarde1701         Vardas1701          4.4            
Pavarde1702         Vardas1702          7.4            
Pavarde1703         Vardas1703          9.6            
Pavarde1704         Vardas1704          3.8            
Pavarde1705         Vardas1705          7.8            
Pavarde1706         Vardas1706          5.6            
